ezloophw-py logger started on:,2026-3-11_160354
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
57842991,5.304000,0.000000,0.000000,1012.5,1012.96,1013.97,1014.83,0.0,0.01,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,326.0985277987573,449.2042101806769,6.588837847176721,325.7773432347784,219.8210077757921,6.705630904312314,328.9020260138628,28.538064215983123,-6.949226667282702,0.08022604855647099,-1.0963181510540647
57843091,5.402000,0.000000,0.000000,1012.49,1012.93,1014.1,1014.89,0.0,0.01,1400.08,0.0,0.0,0.0,0.0,0.0,0.0,326.10654491720027,449.1989260850704,6.595127692916242,325.78619269880477,219.81837693589256,6.713462480713777,328.8066225820753,28.538550391012006,-6.728018266962929,0.08001906964741833,-1.064699682788145
57843192,5.503000,0.000000,0.000000,1012.49,1012.89,1014.0,1014.88,0.0,0.01,1400.07,0.0,0.0,0.0,0.0,0.0,0.0,326.09716132782853,449.2030631435498,6.597976114317344,325.7826406383971,219.82426212796096,6.720391019211155,328.8462293671605,28.54929532752031,-6.822467442962463,0.07856304375264753,-1.074735431335568
57843292,5.604000,0.000000,0.000000,1012.38,1012.9,1014.04,1014.82,0.0,0.01,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,326.1043606532704,449.1989234452893,6.601606687396779,325.7761885043869,219.82027513982686,6.711421267231641,328.86475300515156,28.56039935580344,-6.895523611040735,0.08197304498242833,-1.0891078885081462
57843392,5.705000,0.000000,0.000000,1012.63,1012.81,1014.12,1014.77,0.0,0.01,1400.12,0.0,0.0,0.0,0.0,0.0,0.0,326.1047748296305,449.2043931077106,6.582155127421216,325.78682369615984,219.824126392727,6.707600234296083,328.829284450931,28.539866426043606,-6.799936155332374,0.07941941402753039,-1.0700767042190127
57843492,5.804000,0.000000,0.000000,1012.52,1012.93,1014.09,1014.94,0.0,0.01,1400.1,0.0,0.0,0.0,0.0,0.0,0.0,326.11153380367523,449.20426775710814,6.5801805998124765,325.78440058198987,219.81372852320084,6.710945619848734,328.83733475222243,28.565121769406733,-6.926995688148212,0.08170929933400141,-1.0779632347608905
57843593,5.905000,0.000000,0.000000,1012.45,1012.84,1014.14,1014.85,0.0,0.01,1400.09,0.0,0.0,0.0,0.0,0.0,0.0,326.1039597646812,449.2010314248076,6.58716036234059,325.78516184757586,219.81592740331763,6.720855706622367,328.8285319264865,28.552188641212634,-6.816785110227044,0.07962924831302923,-1.0708664575596178
57843692,6.005000,0.000000,0.000000,1012.58,1012.88,1014.11,1014.83,0.0,0.01,1400.07,0.0,0.0,0.0,0.0,0.0,0.0,326.1025725349013,449.19759079025397,6.5914580320994,325.777594221315,219.8242323141545,6.685958302478322,328.8414276920743,28.54341480180933,-6.782024274920132,0.08117714047798755,-1.080008853247293
57843792,6.104000,0.000000,0.000000,1012.46,1012.87,1014.21,1014.9,0.0,0.01,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,326.10218449407466,449.2083286637294,6.584433298023133,325.79178924761794,219.8154335879416,6.720204767136958,328.8162786637516,28.546138555015304,-6.823548926835318,0.0775278011252654,-1.060982701222987
57843893,6.205000,0.000000,0.000000,1012.41,1012.74,1014.09,1014.86,0.0,0.01,1400.02,0.0,0.0,0.0,0.0,0.0,0.0,326.10087785271486,449.2067649821283,6.575037731135513,325.7817957478242,219.82270070598415,6.7143823436668475,328.83791432965353,28.516583695027467,-6.823677392550823,0.07970059382386428,-1.0746244224004367
