ezloophw-py logger started on:,2026-3-5_141727,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51455778,4.602000,0.000000,0.000000,1028.17,1028.57,1029.81,1030.52,0.04,0.0,1400.84,649.6928086043810,672.5337198121850,0.29750562686356300,646.4146707385400,330.18893059609100,2.5421418663944500,644.374612790239,40.71240219722140,-0.4334309889398560,0.5486215360344220,-0.6934632699225140
51455878,4.701000,0.000000,0.000000,1028.16,1028.54,1029.76,1030.52,0.04,0.0,1400.81,649.7014645221230,672.5306273893010,0.28005953177960200,646.3908179213200,330.2096853641070,2.517408967862530,644.3935405578280,40.672674165542800,-0.47946648351475200,0.5541003802148700,-0.7129706380675650
51455979,4.802000,0.000000,0.000000,1028.08,1028.55,1029.72,1030.54,0.03,0.0,1400.75,649.7302061672600,672.5841822840930,0.3093871168007270,646.3486680545100,330.2012083846720,2.371972249710360,644.281924060118,40.71243281511200,-0.4089516145348980,0.5658621414045730,-0.7226801111302900
51456078,4.901000,0.000000,0.000000,1028.13,1028.55,1029.69,1030.57,0.03,0.0,1400.7,649.7434018262920,672.5749155196500,0.28257234443815700,646.2687841459430,330.20412766173400,2.415622067228700,644.2538510349030,40.70278432242060,-0.4623556927594570,0.5814575925780230,-0.7641422543263360
51456178,5.002000,0.000000,0.000000,1028.2,1028.47,1029.81,1030.56,0.03,0.0,1400.82,649.755773822671,672.6166758205330,0.44524429192902600,646.2673644863440,330.1893713677880,2.3978132407481300,644.0501604640590,40.74122832727520,-0.26805488487200800,0.5836690466494610,-0.7284548210377780
51456279,5.102000,0.000000,0.000000,1028.16,1028.51,1029.61,1030.57,0.03,0.0,1400.82,649.728039095841,672.5880971346160,0.2850089453584610,646.2555532481090,330.2001663550170,2.3904219264209700,644.0690882113100,40.727510344571100,-0.29440454677428800,0.5810717739578820,-0.7293813033782720
51456379,5.201000,0.000000,0.000000,1028.19,1028.57,1029.77,1030.61,0.03,0.0,1400.91,649.6768757372700,672.5186584796960,0.2909374315834930,646.2276600527320,330.20118431573500,2.39722871975311,644.0210425961090,40.73077603448850,-0.26312804174491200,0.5772968911991730,-0.717839576043238
51456480,5.301000,0.000000,0.000000,1028.21,1028.56,1029.74,1030.55,0.03,0.0,1400.75,649.7407212257280,672.6019591771900,0.31144397262713500,646.2590406790540,330.20269820961600,2.40211146519732,644.0643094059560,40.72501385538290,-0.28681350218640000,0.5825909942921080,-0.7307912339313690
51456583,5.402000,0.000000,0.000000,1028.14,1028.61,1029.71,1030.5,0.03,0.0,1400.73,649.6886155578210,672.5291131542980,0.2933098476499930,646.2654872697330,330.2165555847340,2.4283442446964800,644.2147550943910,40.70354741600000,-0.3352350409055800,0.572939151634434,-0.7400370105835160
51456682,5.502000,0.000000,0.000000,1028.21,1028.63,1029.67,1030.57,0.03,0.0,1400.79,649.7313541013960,672.5826361717140,0.3048315817814250,646.3758737522850,330.21403009518600,2.5502002690964500,644.2174127803890,40.699320719301000,-0.4347190225146980,0.5615255122213930,-0.6958934098277510
51456781,5.601000,0.000000,0.000000,1028.15,1028.56,1029.69,1030.6,0.02,0.0,1400.79,649.7349979999810,672.5912153831940,0.31374740359544100,646.3095420294470,330.20787979007600,2.3666575512345400,644.3781519989600,40.67565308933850,-0.5101679121874890,0.5732102052555030,-0.7642216575994630
51456881,5.702000,0.000000,0.000000,1028.16,1028.56,1029.73,1030.62,0.02,0.0,1400.73,649.688793891456,672.5288091242960,0.29860483994965900,646.3374085478480,330.20374599141300,2.374357630434070,644.3496357971900,40.64992348805360,-0.4649905270893600,0.5609116070942330,-0.7284966845114440
