ezloophw-py logger started on:,2026-2-3_164256
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
60183144,3.501000,0.000000,0.000000,1031.42,1030.34,1030.59,1031.22,0.0,0.0,0.27,0.01,0.12,0.24,1372.98,0.0,0.0,0.0,0.0,633.6189103349146,665.5534767183078,0.008825646454978676,634.0212673292637,314.3051761977955,1.0764475656030814,643.2632685844221,37.524369121887496,-4.925593010859229,-0.06563262374849856,-1.78119032420912
60183243,3.601000,0.000000,0.000000,1031.04,1030.38,1030.58,1031.28,0.0,0.0,0.2,0.01,0.12,0.25,1373.63,0.0,0.0,0.0,0.0,633.6598062309065,665.8088939924281,0.04904166786390994,630.5696833246473,314.75245610264284,1.913249292256683,634.6425636529344,37.94597466073793,-4.073853956461826,0.5043246871090877,-1.851628244472939
60183343,3.700000,0.000000,0.000000,1031.08,1030.34,1030.54,1031.36,0.0,0.0,0.21,0.01,0.11,0.26,1374.48,0.0,0.0,0.0,0.0,633.7066900185769,666.0508821521332,-0.15564882925611367,627.3568671198825,315.1918146406633,2.512240139995645,627.0451858513488,38.41211238009439,-2.5466599927517426,1.0368218272858836,-2.009122977853641
60183443,3.801000,0.000000,0.000000,1031.21,1030.3,1030.65,1031.34,0.0,-0.0,0.23,0.0,0.13,0.26,1375.11,0.0,0.0,0.0,0.0,634.0547109722435,666.1109455433855,-0.16484022678158658,626.3883279419213,315.46444972282274,2.978278128367295,623.2761535033338,38.747192522235196,-1.150366159239269,1.2524905493282583,-1.8606160001582217
60183544,3.901000,0.000000,0.000000,1031.3,1030.16,1030.66,1031.29,0.0,-0.0,0.25,0.02,0.13,0.25,1374.64,0.0,0.0,0.0,0.0,634.0507985199939,666.1008006432842,-0.15198874788819922,627.1406070853418,315.4072103758317,2.7686927483853254,624.454394713714,38.67918549024033,-1.567453990323312,1.1288303720009605,-1.7015052985912353
60183644,4.002000,0.000000,0.000000,1031.48,1030.01,1030.69,1031.18,0.0,-0.0,0.28,0.05,0.14,0.23,1375.2,0.0,0.0,0.0,0.0,634.060209306105,666.1235343908326,-0.18522725851691135,629.6299801900385,315.25861252213735,2.1323248201822342,630.2433931524508,38.63591485086911,-3.1594543038814824,0.7234121351745517,-1.573877894410498
60183743,4.101000,0.000000,0.000000,1031.55,1029.87,1030.74,1031.25,0.0,-0.01,0.29,0.07,0.15,0.25,1375.91,0.0,0.0,0.0,0.0,634.0625991847737,666.0988257430813,-0.17886723089391954,633.1129143192616,315.28030760719736,1.2304528681044886,638.4791409465068,38.71646475219766,-4.431862243943344,0.15510242171858354,-1.4217874649101954
60183843,4.201000,0.000000,0.000000,1031.74,1029.82,1030.78,1031.18,0.0,-0.01,0.33,0.08,0.15,0.24,1376.53,0.0,0.0,0.0,0.0,634.0705358992528,666.1206995346747,-0.22590795083437806,636.066545035619,315.25298517877496,0.2963288764404176,645.9163540423,38.81019996818597,-4.973367484941929,-0.3259395522849036,-1.3887378876186043
60183944,4.302000,0.000000,0.000000,1031.69,1029.82,1030.68,1031.27,0.0,-0.01,0.32,0.08,0.14,0.25,1377.12,0.0,0.0,0.0,0.0,634.0636345405733,666.1095285802172,-0.1976706663408211,637.5357700435735,315.28325159803614,-0.16261217281921594,649.9898287493887,38.836069085482805,-4.612386522148344,-0.5670390966542638,-1.4453760303519423
60184043,4.402000,0.000000,0.000000,1031.55,1030.08,1030.67,1031.28,-0.0,-0.01,0.3,0.04,0.14,0.25,1377.7,0.0,0.0,0.0,0.0,634.0662731543224,666.107677155261,-0.19465619600717962,636.9535319587351,315.2560509157249,0.08667234227387495,649.2059654790381,38.84316465658118,-4.906025679873753,-0.47149278303074676,-1.5950780472275556
