ezloophw-py logger started on:,2026-3-9_121724
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44279416,31.439000,-9.109337,27.036856,1017.17,1026.4,1047.52,1023.34,-0.02,0.0,1395.47,649.7408219205406,672.3865433248657,0.2941773265247752,652.025936987877,329.13952675840136,0.07954991623807156,652.6671683367504,42.820611549925175,0.8548210124330416,-0.38143234622595135,0.6345469788621259
44279516,31.539000,-6.602712,19.538250,1017.02,1026.18,1045.5,1022.57,-0.02,0.0,1396.21,649.7408219205406,672.3865433248657,0.2941773265247752,652.025936987877,329.13952675840136,0.07954991623807156,652.6671683367504,42.820611549925175,0.8548210124330416,-0.38143234622595135,0.6345469788621259
44279616,31.638000,-6.216355,18.431832,1016.82,1025.98,1044.8,1021.59,-0.02,0.0,1396.7,649.7335747457125,672.371876122301,0.2791755772887893,653.4982398642013,329.169051947096,-0.34378139925533624,648.4674973913999,42.82168038131926,3.7646015126958154,-0.6284644436280162,2.263435982170578
44279716,31.738000,-6.185032,18.405211,1017.07,1025.73,1044.56,1020.84,-0.02,0.0,1397.52,649.7187098387693,672.3747641739724,0.2804924853692002,655.1588168089975,329.19893783750007,-0.6274671077794463,651.9558320844263,42.794534983978274,3.3996867906616095,-0.9081906139834043,2.4571180829624293
44279816,31.839000,-5.867088,17.839706,1016.91,1025.71,1043.49,1020.33,-0.02,0.0,1397.38,649.7302896869952,672.411244025697,0.3107816721519853,657.1070111710857,329.29207656409676,-1.3540937104739426,657.0489962596399,42.889400821293464,2.602047305907117,-1.2316126516112595,2.474831373314504
44279916,31.938000,-8.441413,25.868821,1016.88,1025.64,1043.01,1019.48,-0.02,0.0,1397.9,649.7277899492742,672.3745255318973,0.2864611514042348,659.4004711895928,329.4767603654243,-1.9033502194095457,661.3563683313503,42.91707861573728,2.6070579012942683,-1.615807799415561,2.8405525207720403
44280017,32.038000,-8.574358,26.380255,1016.87,1025.6,1041.27,1018.95,-0.02,0.01,1398.4,649.7259910749262,672.3676445772415,0.29732558020384803,660.2423753366319,329.50204803194606,-2.2413175998044204,665.3441585900763,43.042288622501935,1.7967270217823432,-1.7568271473634982,2.493337343107229
44280116,32.139000,-10.963876,33.609154,1016.75,1025.65,1040.36,1018.83,-0.02,0.01,1398.89,649.6672638668512,672.3230753372262,0.2886427454939183,660.6209149946782,329.5137482960974,-2.199359655615636,666.3992813890333,43.02726359368877,1.725916676136943,-1.8301267646864474,2.504767531120823
44280217,32.238000,-11.819248,36.139917,1016.77,1025.75,1040.56,1019.08,-0.03,0.01,1396.81,649.7342211108606,672.375847926264,0.2738670929172046,659.6289623243265,329.52433449856005,-2.080514160194317,665.75630566577,42.965655456839535,1.2478853925710365,-1.6531051143366595,2.081269408987956
44280316,32.339000,-10.238220,31.100361,1016.69,1025.8,1040.53,1019.23,-0.03,0.01,1397.16,649.7342211108606,672.375847926264,0.2738670929172046,659.6289623243265,329.52433449856005,-2.080514160194317,665.75630566577,42.965655456839535,1.2478853925710365,-1.6531051143366595,2.081269408987956
