ezloophw-py logger started on:,2026-3-19_123309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
45205502,4.907000,16.962205,16.962205,1042.46,1026.71,1042.32,1028.59,-0.03,0.01,0.31,1.0,0.37,1.0,1397.15,0.03996935627215940,0.011245953346170400,0.0169799971670764,0.020171838954174700,0.0,0.0,326.122384787822,449.30765553384400,6.523671408223080,319.0686714184320,219.46190607792800,9.806391355561350,304.6454370118480,30.749817492443300,1.3330526623113600,1.7577927887423300,0.8550244640512200
45205606,5.007000,17.272295,17.272295,1042.52,1026.59,1042.51,1028.54,-0.03,0.01,0.32,1.0,0.37,1.0,1398.05,0.041517004883200700,0.013038550551207900,0.016451598124401500,0.01872163135161600,0.0,0.0,326.13162058277100,449.30819148994300,6.540817634080740,319.0841805109960,219.45327900547900,9.80051132263672,304.49483282323100,30.74867643542170,1.4108087164326600,1.7561604885986900,0.9086019209611370
45205703,5.109000,17.581144,17.581144,1042.62,1026.62,1042.42,1028.58,-0.03,0.02,0.3,1.0,0.36,1.0,1398.33,0.043091672523183800,0.014826313154868100,0.016136125149451100,0.018240879003266800,0.0,0.0,326.11930994217900,449.30551388417400,6.520946996008250,319.16316938400100,219.45174952447200,9.925737431565510,304.82131270199000,30.692533024904300,1.2343795388348200,1.7334320719117400,0.8781001747437840
45205803,5.207000,17.891959,17.891959,1042.64,1026.62,1042.48,1028.61,-0.03,0.02,0.31,1.0,0.36,1.0,1399.08,0.04466327346111530,0.01656880296813330,0.01586352495107990,0.017425230196489200,0.0,0.0,326.12035435878400,449.3121731235070,6.517077942247630,319.465928825186,219.45770451317400,9.810096493205650,305.5275768834880,30.53152308401500,1.17423523463669,1.6582841959654200,0.9028812578335790
45205903,5.307000,18.201971,18.201971,1042.58,1026.59,1042.56,1028.56,-0.03,0.01,0.31,1.0,0.36,1.0,1399.27,0.04618772889553070,0.01826075861320420,0.01583475620101520,0.01764005209761500,0.0,0.0,326.11692740079400,449.3068025896230,6.541931837434390,319.60613020577400,219.46322103200400,9.914752075257480,305.8345312861260,30.51906516492590,1.1486397016322300,1.62258814029344,0.9235773677524860
45206003,5.408000,18.509356,18.509356,1042.56,1026.61,1042.52,1028.55,-0.03,0.01,0.31,1.0,0.36,1.0,1399.43,0.047624651794819900,0.019881365056847900,0.01513210038993380,0.01733453889052930,0.0,0.0,326.12236314285300,449.3143555008280,6.542364372223930,319.71628739389300,219.460737534706,9.750394507192140,305.97753621851500,30.508176057149100,1.2528796210892500,1.5964339307276900,0.9657931297917670
45206102,5.508000,18.817955,18.817955,1042.57,1026.45,1042.57,1028.56,-0.02,0.01,0.3,1.0,0.36,1.0,1399.69,0.04894641646807810,0.021443652610659400,0.012968978390745600,0.01555534412093970,0.0,0.0,326.121148571477,449.3058214727350,6.531249006890520,319.6547985890010,219.48058705839100,9.89147362609816,305.8612261793550,30.541217027070400,1.2176725634614600,1.6116456714001800,0.9521957083974270
45206202,5.607000,19.125122,19.125122,1042.63,1026.66,1042.53,1028.6,-0.02,0.01,0.31,1.0,0.36,1.0,1399.89,0.050156757547543100,0.022918662137184800,0.011954704194683700,0.014776811792438200,0.0,0.0,326.12678417950200,449.30483054217400,6.517004467813970,319.3240498052440,219.44262449094600,9.90886710728352,305.07497880500500,30.609312083319800,1.4245036024290700,1.677436162933560,0.924944484135604
45206303,5.707000,19.435011,19.435011,1042.66,1026.52,1042.59,1028.59,-0.02,0.01,0.31,1.0,0.36,1.0,1400.2,0.0512748275479646,0.02429939289416870,0.011629392950569800,0.01422922623649250,0.0,0.0,326.1212320944970,449.29215571953500,6.53968518562627,319.0776159468250,219.44999845059800,9.817185697146610,304.4864959671030,30.753787804996800,1.440398230314510,1.7553055416328200,0.9110425891151060
45206405,5.807000,19.741694,19.741694,1042.68,1026.66,1042.55,1028.58,-0.02,0.01,0.31,1.0,0.36,1.0,1400.23,0.052329841811367200,0.025574785425608900,0.010774819018106200,0.012804764729265400,0.0,0.0,326.1144228409730,449.299327786817,6.543933092400490,318.98563539565600,219.4251201678890,9.934316409592150,304.3717241174260,30.764763145983600,1.5046379408591200,1.77626961605853,0.876831864549926
