ezloophw-py logger started on:,2026-3-16_144706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53234212,4.104000,0.000000,0.000000,1006.23,1006.49,1007.62,1008.44,0.0,0.0,1.0,1.0,1.0,1.0,1399.7,0.0,0.0,0.0,0.0,0.0,0.0,326.1121290358290,449.13392873573100,6.580391684424070,323.7309903653270,219.3470063249810,7.4088927111463300,323.9455644702570,29.73522582471040,-5.872628820573260,0.5936992059208030,-1.2522371329630000
53234312,4.205000,0.000000,0.000000,1006.17,1006.49,1007.56,1008.5,0.0,0.0,1.0,1.0,1.0,1.0,1399.75,0.0,0.0,0.0,0.0,0.0,0.0,326.11448160641000,449.1473777136100,6.59420129117348,323.72183862013700,219.37282054285700,7.484393582406720,323.97295897273600,29.758655271443900,-5.837452108304550,0.5965995197526140,-1.2690801210745400
53234411,4.307000,0.000000,0.000000,1006.19,1006.4,1007.66,1008.42,0.0,0.0,1.0,1.0,1.0,1.0,1399.66,0.0,0.0,0.0,0.0,0.0,0.0,326.1133564844910,449.1356975139800,6.59184682759924,323.71315358351400,219.37131681384700,7.43570066268938,323.9358141491300,29.68101755236090,-5.877450397364350,0.5985109340843890,-1.264276255262960
53234511,4.405000,0.000000,0.000000,1006.18,1006.53,1007.67,1008.53,0.01,0.0,1.0,1.0,1.0,1.0,1399.82,0.0,0.0,0.0,0.0,0.0,0.0,326.11730652504900,449.1451780230770,6.599030666618830,323.7229431257580,219.36477457802500,7.490460192434530,323.99211860529000,29.763314154060400,-5.804556355628160,0.5970132803559680,-1.2753688063337400
53234611,4.505000,0.000000,0.000000,1006.15,1006.57,1007.71,1008.53,0.01,0.0,1.0,1.0,1.0,1.0,1399.77,0.0,0.0,0.0,0.0,0.0,0.0,326.1155220160700,449.1422537994570,6.602961662668570,323.75581232928100,219.34941116021700,7.411548497609110,323.9797650281310,29.75733016206840,-5.840594174210980,0.5883414486466550,-1.2443626148171300
53234711,4.605000,0.000000,0.000000,1006.11,1006.51,1007.62,1008.54,0.01,0.0,1.0,1.0,1.0,1.0,1399.7,0.0,0.0,0.0,0.0,0.0,0.0,326.11404900615700,449.13902903995300,6.568744645210480,323.7732553634210,219.36611849063900,7.519694388176950,323.99331070600900,29.689374496326100,-5.813894703259250,0.5836761029563560,-1.2338244389723800
53234811,4.705000,0.000000,0.000000,1006.07,1006.49,1007.69,1008.51,0.01,0.0,1.0,1.0,1.0,1.0,1399.77,0.0,0.0,0.0,0.0,0.0,0.0,326.1108576087540,449.15275622749300,6.593840432401800,323.78180470151700,219.35798906052300,7.478986150331650,323.99101135495600,29.65926748800600,-5.710049582711080,0.5806935221988850,-1.2245748894669300
53234912,4.805000,0.000000,0.000000,1006.21,1006.54,1007.63,1008.51,0.01,0.0,1.0,1.0,1.0,1.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,326.1141864795350,449.1390192423550,6.5791583016203,323.79657950804400,219.35644596316300,7.523341511376850,323.9425036531400,29.69210823637120,-5.727564045447860,0.5778706086188130,-1.1998234948736600
53235012,4.904000,0.000000,0.000000,1006.17,1006.42,1007.69,1008.49,0.01,0.0,1.0,1.0,1.0,1.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,326.1167291996390,449.14054350978000,6.586646843603440,323.7955927468750,219.35658980706700,7.525649607198760,323.9884844071100,29.66479417146870,-5.7204245308294800,0.578747110760819,-1.2157564894727500
53235113,5.004000,0.000000,0.000000,1006.17,1006.53,1007.68,1008.53,0.02,0.0,1.0,1.0,1.0,1.0,1399.75,0.0,0.0,0.0,0.0,0.0,0.0,326.11379371223900,449.1344584373840,6.593192790988930,323.70793513291100,219.36947650344400,7.4684499059560200,323.93066708566000,29.7424938091681,-5.866282948575490,0.599919552738066,-1.2671375184187800
53235212,5.103000,0.000000,0.000000,1006.16,1006.48,1007.71,1008.53,0.02,0.0,1.0,1.0,1.0,1.0,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,326.1059309575970,449.1491061371610,6.581983865420870,323.7818613976030,219.36936091052500,7.528486839423850,323.9801737399430,29.771119318488700,-5.845821166745450,0.5794890080682990,-1.218907137853930
53235312,5.206000,0.000000,0.000000,1006.16,1006.43,1007.6,1008.48,0.02,0.0,1.0,1.0,1.0,1.0,1399.85,0.0,0.0,0.0,0.0,0.0,0.0,326.1145063766970,449.14492205140900,6.597893063435630,323.716955174135,219.36836149533200,7.478001931177280,323.9953675518880,29.759731416640300,-5.831683997784410,0.5978180704771810,-1.2797665032613300
53235412,5.305000,0.000000,0.000000,1006.21,1006.46,1007.67,1008.53,0.02,-0.01,1.0,1.0,1.0,1.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,326.11802563899800,449.13224096745000,6.593389221272100,323.790593708361,219.36989079393000,7.527828597482210,323.99166620555700,29.765140200013500,-5.842191917837450,0.5803712651654860,-1.2215036721832500
