ezloophw-py logger started on:,2026-3-19_150727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54454375,3.313000,0.000000,0.000000,1023.93,1024.31,1025.44,1026.38,0.0,0.0,1.0,1.0,1.0,1.0,1400.55,0.0,0.0,0.0,0.0,0.0,0.0,326.1238212162530,449.2642146110520,6.53411208564305,323.86714788642800,219.50431673832600,7.851669045352810,323.1953058806640,29.49400593376470,-5.133517091333510,0.5732916676310530,-0.9713501603637480
54454475,3.410000,0.000000,0.000000,1023.96,1024.25,1025.48,1026.41,0.0,0.0,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.1281760892080,449.2390028067640,6.539725036902430,323.8209598919950,219.44091192357300,7.640833704767240,323.28128913104800,29.44693549819780,-5.184326376662990,0.5665391407679360,-0.9502061126410770
54454576,3.511000,0.000000,0.000000,1023.93,1024.25,1025.47,1026.35,0.0,0.0,1.0,1.0,1.0,1.0,1400.53,0.0,0.0,0.0,0.0,0.0,0.0,326.12451158176400,449.2574058778630,6.5575548787078300,323.84874931942200,219.4407357516510,7.614976655732410,323.25832926919400,29.45681937133850,-5.171654121901710,0.5673535820182720,-0.9566595735104630
54454675,3.611000,0.000000,0.000000,1023.97,1024.32,1025.51,1026.26,0.0,0.0,1.0,1.0,1.0,1.0,1400.52,0.0,0.0,0.0,0.0,0.0,0.0,326.1823058493550,449.2478080764150,6.551034487407,323.83336306587400,219.4339275554800,7.638589107977760,323.2124180558580,29.435366327711100,-5.15203238310701,0.5856035375686480,-0.983956174454067
54454775,3.709000,0.000000,0.000000,1023.91,1024.33,1025.51,1026.27,0.0,0.0,1.0,1.0,1.0,1.0,1400.56,0.0,0.0,0.0,0.0,0.0,0.0,326.13281970298300,449.26006270662000,6.541141626552800,323.8399942286300,219.50190939484600,7.831456873011850,323.26601155992300,29.459586971908300,-5.201550180329170,0.5717527771872730,-0.9704562882297790
54454876,3.811000,0.000000,0.000000,1023.92,1024.32,1025.47,1026.37,0.0,0.0,1.0,1.0,1.0,1.0,1400.53,0.0,0.0,0.0,0.0,0.0,0.0,326.1339558358630,449.24904104103600,6.542688866521230,323.84929224642500,219.44389467783900,7.656505024660770,323.23637675534100,29.437806109208700,-5.113737563019940,0.5696011204061890,-0.954380010657638
54454976,3.911000,0.000000,0.000000,1023.97,1024.29,1025.6,1026.36,0.0,0.0,1.0,1.0,1.0,1.0,1400.57,0.0,0.0,0.0,0.0,0.0,0.0,326.12737105036100,449.259020510185,6.533300302324500,323.8149277012240,219.4555418829160,7.668228672685060,323.3015290355400,29.458289633754100,-5.2264726525204600,0.5765307528627410,-0.9982408185291430
54455076,4.011000,0.000000,0.000000,1023.91,1024.38,1025.58,1026.26,0.0,0.0,1.0,1.0,1.0,1.0,1400.53,0.0,0.0,0.0,0.0,0.0,0.0,326.11977959525800,449.25183974247800,6.562150650612300,323.8700338726920,219.51479688893400,7.837677318808850,323.24469421305700,29.443534030816500,-5.170277107335120,0.5610623916556730,-0.9336207798877070
54455176,4.111000,0.000000,0.000000,1024.0,1024.31,1025.51,1026.34,0.0,0.0,1.0,1.0,1.0,1.0,1400.48,0.0,0.0,0.0,0.0,0.0,0.0,326.1298454988790,449.25103482886,6.5267900108227800,323.85404683964600,219.51503453232100,7.843835667970400,323.31320504183600,29.444778699393300,-5.227154250691240,0.5675618667756700,-0.9720899720128590
54455276,4.213000,0.000000,0.000000,1023.96,1024.29,1025.59,1026.38,0.0,0.0,1.0,1.0,1.0,1.0,1400.52,0.0,0.0,0.0,0.0,0.0,0.0,326.1845317823520,449.1841285949930,6.531781101675170,323.86231236574100,219.50894900896100,7.792487401223160,323.18855387525900,29.539935821037900,-5.119844357504380,0.5792913199306120,-0.955373940685777
