ezloophw-py logger started on:,2026-2-12_134424,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
49471252,2.904000,0.000000,0.000000,1015.13,1009.99,1018.77,1018.98,-0.04,-0.02,1.0,1.0,0.68,0.63,1011.33,637.0406791047790,681.4967686712720,0.5864915641450860,620.2031200547980,340.89217092657000,6.140616271565480,600.5050884539480,58.39575123834670,3.3290025278815300,2.8300744644142300,-1.6714602695187100
49471352,3.003000,0.000000,0.000000,1015.07,1009.87,1018.88,1018.89,-0.04,-0.02,1.0,1.0,0.66,0.65,1011.28,637.0310845869500,681.497317383216,0.6035668609102310,620.1683532521600,340.9326829956850,6.094969900133480,600.4900714879460,58.43592229989680,3.307262801361730,2.8346306011366100,-1.6845636271313900
49471452,3.102000,0.000000,0.000000,1015.14,1009.98,1018.9,1018.92,-0.04,-0.02,1.0,1.0,0.65,0.65,1011.27,637.0385853186390,681.5170292036430,0.5544143601727860,620.0766020222220,340.91497877551500,6.132439055353410,600.405789818946,58.40055700740640,3.2917032092376300,2.8509747316501800,-1.7190077492440500
49471553,3.203000,0.000000,0.000000,1015.12,1009.9,1018.8,1018.88,-0.04,-0.02,1.0,1.0,0.67,0.66,1011.32,637.0266504461210,681.4847446385360,0.5418941852048490,620.1277404149290,340.927367510572,6.071448604796450,601.0789386203110,58.3768312889036,2.8375439367151800,2.840762736960120,-1.8246334403461900
49471652,3.304000,0.000000,0.000000,1015.31,1009.84,1018.76,1018.94,-0.05,-0.03,1.0,1.0,0.68,0.64,1011.32,637.0602796432040,681.496953309171,0.5255770473671910,622.0794370642470,340.7397887588890,5.5440173264032200,602.4449223193890,58.26344213387640,2.9922916122724500,2.5172961550446600,-1.058442351582410
49471752,3.403000,0.000000,0.000000,1015.33,1009.83,1018.83,1018.95,-0.05,-0.03,1.0,1.0,0.67,0.64,1011.29,637.0249774697660,681.5023194155770,0.5892878930812740,622.5666251660910,340.7656682348650,5.508331497733930,606.1393986817120,58.015721960963200,2.2336334523611600,2.42975304214675,-1.5344695443115100
49471852,3.505000,0.000000,0.000000,1015.16,1009.94,1018.85,1018.92,-0.05,-0.03,1.0,1.0,0.67,0.65,1011.29,637.0257229686060,681.4228011552020,0.6721095608658840,621.8608415117280,340.6983850233700,5.563257994698540,605.6618884497090,57.997892743546500,2.496142508033410,2.5484250860103800,-1.8173446079412600
49471952,3.605000,0.000000,0.000000,1015.24,1009.96,1018.88,1018.94,-0.05,-0.03,1.0,1.0,0.66,0.65,1011.19,637.0164345508080,681.4913405149560,0.6019430888025480,621.2466613533080,340.83456351825500,5.868844365739430,603.03918400345,58.2254649160854,2.9661428610077800,2.650459100876170,-1.6146539434966700
49472053,3.705000,0.000000,0.000000,1015.26,1009.82,1018.91,1018.82,-0.05,-0.03,1.0,1.0,0.66,0.67,1011.28,637.0608637243690,681.3999067032560,0.8557746648085760,621.8207705216010,340.8094134205560,5.711676828991400,602.3852996157480,58.239644972878900,2.889210913072090,2.5620531503664400,-1.1894342144462300
49472152,3.805000,0.000000,0.000000,1015.35,1009.78,1018.92,1018.86,-0.05,-0.03,1.0,1.0,0.66,0.67,1011.34,637.0405301933260,681.5195688152820,0.6453694654543660,623.0153707890620,340.68071097062300,5.368218364819600,606.1417795530370,57.99376520500760,2.2823155777705600,2.356331536496880,-1.2967295136449600
49472252,3.904000,0.000000,0.000000,1015.35,1009.84,1019.03,1018.72,-0.05,-0.03,1.0,1.0,0.63,0.69,1011.29,637.0739980139970,681.4030490493520,0.8442108530366960,624.0793909114790,340.65525513654800,5.062046523756780,608.1406744798810,58.03715091426240,1.9355966312024600,2.183948186501550,-1.1400251917064700
49472352,4.004000,0.000000,0.000000,1015.37,1009.85,1018.98,1018.81,-0.05,-0.03,1.0,1.0,0.65,0.68,1011.2,637.0241219591360,681.5283527175680,0.6011279448818460,623.6135296671330,340.72331910367700,5.215859471137700,609.3976359188070,57.69637059297950,1.9274821023025500,2.2534119193006900,-1.631384633387970
49472452,4.105000,0.000000,0.000000,1015.28,1009.77,1018.98,1018.89,-0.05,-0.03,1.0,1.0,0.65,0.66,1011.22,637.0300227030760,681.4978586618900,0.5518765908542260,623.9232511649220,340.67656862863400,5.058992056453490,609.4913099425390,57.66121244091220,1.612751459029050,2.202306145082010,-1.4854289658238200
49472552,4.205000,0.000000,0.000000,1015.38,1009.79,1018.98,1018.89,-0.05,-0.03,1.0,1.0,0.65,0.66,1011.25,637.0446740037270,681.5082547579350,0.5575305198104910,624.0796619807020,340.6578383148780,5.016591984520960,610.6261618685160,57.79700982687200,1.6760315205149300,2.178323657319730,-1.6335826906602300
49472652,4.304000,0.000000,0.000000,1015.53,1009.63,1018.94,1018.84,-0.05,-0.03,1.0,1.0,0.66,0.67,1011.24,637.0989106738330,681.415222395133,0.8072622374338420,625.488224743868,340.699355655389,4.698320683828660,611.2025942940000,57.673429194692400,1.644065651230300,1.951731743316650,-1.0139321158283300
49472752,4.405000,0.000000,0.000000,1015.46,1009.77,1018.88,1018.82,-0.05,-0.03,1.0,1.0,0.67,0.68,1011.32,637.0626889778240,681.421035218876,0.8286259405575300,626.1268947932940,340.6906237073340,4.567802681297940,614.7722279041440,57.144922543470000,1.3793295388564100,1.8382856928895000,-1.3833711608004400
49472852,4.505000,0.000000,0.000000,1015.47,1009.73,1018.9,1018.71,-0.06,-0.02,1.0,1.0,0.67,0.7,1011.22,637.09190257142,681.4084156677310,0.8137399119508590,626.9872832082690,340.65516830654000,4.234824563969320,615.9359625050220,57.111718913554100,0.9514320170066350,1.6985382745091000,-1.1650599137176700
49472952,4.605000,0.000000,0.000000,1015.56,1009.7,1018.9,1018.76,-0.06,-0.02,1.0,1.0,0.67,0.69,1011.2,637.0695531198940,681.4334714808550,0.7970232647300490,626.9264195024170,340.6665539372320,4.311008389292200,617.1733674885100,56.957309397900200,1.0142237360365400,1.7049401650553500,-1.441002839863080
49473053,4.705000,0.000000,0.000000,1015.64,1009.62,1018.94,1018.71,-0.06,-0.02,1.0,1.0,0.66,0.7,1011.23,637.1040595001740,681.4105826221360,0.8393592878350290,627.1472881369060,340.629978002293,4.293377392351500,616.6990920914060,56.91549529661740,1.104472918075580,1.6735656868272500,-1.2380845258661100
